192.168.2.77,23.212.233.91,5126,0,1551911634
192.168.2.62,23.43.17.152,7212,0,1551802284
192.168.2.77,206.189.128.99,570,443,1551898015
192.168.2.219,13.35.202.118,7178,80,1551911634
192.168.2.89,172.217.163.163,188,0,1551865547
192.168.2.77,52.26.62.77,70,443,1551928425
23.78.217.66,192.168.2.104,768,0,1551926825
192.168.2.126,216.58.199.174,188126,0,1551917232
192.168.2.93,239.255.255.250,5212,0,1551927611
192.168.2.9,52.114.7.37,91212,443,1551937252
192.168.2.77,13.249.11.54,5178,443,1551873499
192.168.2.9,37.252.254.167,568,0,1551937252
192.168.2.77,93.184.220.113,91239,443,1551898804
fe80::74c3:783c:930c:4032,ff02::00fb,8,53,1551930833
192.168.2.57,23.77.12.110,7126,443,1551922826
192.168.2.61,172.217.26.174,91228,443,1551866348
192.168.2.108,172.217.27.200,188,0,1551843654
192.168.2.96,172.217.26.179,5126,443,1551901198
192.168.2.153,172.217.27.195,91126,443,1551920437
172.217.2.42,192.168.2.77,5,0,1551923626
192.168.2.102,111.119.15.128,70,80,1551907623
192.168.2.219,198.41.30.199,70,0,1551878780
54.200.203.45,192.168.2.87,91178,0,1551931630
213.242.125.62,192.168.2.114,5178,0,1551782899
192.168.2.213,83.170.75.28,9,123,1551857354
192.168.2.126,52.74.134.49,91178,443,1551816068
23.43.17.152,192.168.2.62,0,0,1551930010
fe80::021f:55ff:fe2d:3e9f,ff02::0001,214,0,1551936458
192.168.2.188,23.200.231.48,70,80,1551940452
192.168.2.108,172.217.166.35,188126,0,1551939663
192.168.2.97,224.0.0.251,91143,0,1551881976
192.168.2.57,23.194.196.148,91126,443,1551922044
104.18.25.243,192.168.2.135,16,0,1551876952
192.168.2.99,104.81.27.129,188239,443,1551923626
192.168.2.130,108.177.122.102,91124,443,1551924432
192.168.2.248,239.255.255.253,12,427,1551898015
192.168.2.140,151.101.1.140,91126,443,1551907623
192.168.2.102,107.150.122.43,91125,0,1551848540
192.168.2.126,216.58.203.170,91239,443,1551894795
192.168.2.96,224.0.0.251,5124,0,1551891593
192.168.2.247,52.109.88.39,91219,443,1551877876
52.98.65.178,192.168.2.247,91212,443,1551926825
52.94.232.32,192.168.2.106,91178,0,1551907623
192.168.2.106,104.82.131.94,91233,0,1551906839
192.168.2.86,239.255.255.250,5219,0,1551859760
192.168.2.101,104.122.104.224,70,80,1551907623
85.222.154.67,192.168.2.51,0,0,1551920437
192.168.2.108,95.101.247.153,10,0,1551871693
192.168.2.195,172.217.163.35,91239,443,1551858961
40.100.29.242,192.168.2.135,91212,443,1551935654
210.176.156.48,192.168.2.195,0,0,1551843654
192.168.2.104,13.74.179.117,91147,443,1551921236
198.41.30.199,192.168.2.219,0,0,1551878780
192.168.2.106,34.232.24.250,5212,0,1551883590
192.168.2.102,13.35.227.64,5126,0,1551934828
192.168.2.101,52.114.7.30,70,443,1551914841
192.168.2.77,151.101.61.2,5,443,1551940452
192.168.2.61,172.217.160.131,91126,443,1551938872
192.168.2.89,40.100.138.2,91219,443,1551934039
192.168.2.106,52.114.74.43,91125,443,1551883590
115.112.18.21,192.168.2.89,5219,53,1551874401
192.168.2.105,23.198.66.13,12,443,1551927611
192.168.2.129,52.114.132.73,91212,443,1551904434
192.168.2.188,173.194.52.6,7126,80,1551880388
192.168.2.76,74.125.24.156,188126,0,1551939663
fe80::2618:1dff:fe6e:b73f,ff02::0002,12,0,1551872604
23.56.28.239,192.168.2.108,0,0,1551897209
192.168.2.188,2.21.188.99,7212,80,1551880388
192.168.2.104,52.98.65.2,91219,0,1551938062
192.168.2.143,13.107.6.171,154,443,1551870793
192.168.2.62,93.184.221.240,7147,80,1551861356
20.190.140.98,192.168.2.126,91219,443,1551892397
54.86.130.105,192.168.2.153,0,0,1551893987
151.101.60.159,192.168.2.77,91120,443,1551857354
192.168.2.96,224.0.0.251,5126,0,1551891593
192.168.2.130,23.44.102.145,768,80,1551878780
192.168.2.108,23.56.28.239,5,443,1551914032
52.98.71.50,192.168.2.153,91219,443,1551923626
111.221.29.254,192.168.2.195,91212,0,1551926825
23.78.217.190,192.168.2.247,768,80,1551886780
::,ff02::0001:ff7f:4e60,18,0,1551933242
192.168.2.62,192.168.2.255,10,138,1551842027
192.168.2.236,216.58.196.78,188241,0,1551925215
50.7.148.250,192.168.2.104,0,0,1551860555
54.239.17.112,192.168.2.126,91178,443,1551833939
192.168.2.130,23.212.233.164,5,443,1551871693
192.168.2.116,40.100.174.226,91219,443,1551936458
192.168.2.94,106.10.250.10,9170,443,1551868923
192.168.2.195,107.6.114.194,91126,443,1551928425
192.168.2.61,157.240.24.55,7126,0,1551940452
192.168.2.102,157.240.7.54,91142,443,1551930833
